Reading timing models for corner max_tt_025C_1v80…
Reading timing library for the 'max_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner min_ss_100C_1v60…
Reading timing library for the 'min_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib line 1, library sky130_fd_sc_hd__tt_025C_1v80 already exists.
Reading timing models for corner max_ff_n40C_1v95…
Reading timing library for the 'max_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib line 1, library sky130_fd_sc_hd__ff_n40C_1v95 already exists.
Reading timing models for corner max_ss_100C_1v60…
Reading timing library for the 'max_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib line 1, library sky130_fd_sc_hd__ss_100C_1v60 already exists.
Reading timing models for corner min_tt_025C_1v80…
Reading timing library for the 'min_tt_025C_1v80' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib line 1, library sky130_fd_sc_hd__tt_025C_1v80 already exists.
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib line 1, library sky130_fd_sc_hd__ss_100C_1v60 already exists.
Reading timing models for corner min_ff_n40C_1v95…
Reading timing library for the 'min_ff_n40C_1v95' corner at '/foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
[WARNING STA-1140] /foss/pdks/ciel/sky130/versions/7b70722e33c03fcb5dabcf4d479fb0822d9251c9/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib line 1, library sky130_fd_sc_hd__ff_n40C_1v95 already exists.
Reading OpenROAD database at '/foss/designs/alu32_openlane/runs/RUN_2026-05-28_05-26-24/34-openroad-detailedplacement/alu32.odb'…
Reading design constraints file at '/usr/local/lib/python3.12/dist-packages/librelane/scripts/base.sdc'…
[WARNING STA-0366] port '__VIRTUAL_CLK__' not found.
[INFO] Using clock __VIRTUAL_CLK__…
[INFO] Setting output delay to: 2.0
[INFO] Setting input delay to: 2.0
[WARNING STA-0366] port '__VIRTUAL_CLK__' not found.
[INFO] Setting load to: 0.033442
[INFO] Setting clock uncertainty to: 0.25
[INFO] Setting clock transition to: 0.1499999999999999944488848768742172978818416595458984375
[WARNING STA-0419] transition time can not be specified for virtual clocks.
[INFO] Setting timing derate to: 5%
[WARNING STA-0450] virtual clock __VIRTUAL_CLK__ can not be propagated.
[WARNING STA-0450] virtual clock __VIRTUAL_CLK__ can not be propagated.
+ repair_timing -verbose -setup -setup_margin 0.05000000000000000277555756156289135105907917022705078125 -max_buffer_percent 50
[INFO RSZ-0100] Repair move sequence: UnbufferMove SizeUpMove SwapPinsMove BufferMove CloneMove SplitLoadMove 
[INFO RSZ-0094] Found 35 endpoints with setup violations.
[INFO RSZ-0099] Repairing 35 out of 35 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |   Area   |    WNS   |   TNS      |  Viol  | Worst
      540 |       6 |     518 |        5 |      0 |    11 |    +0.1% |  -12.694 |     -292.4 |     35 | zero
      550 |       6 |     525 |        6 |      0 |    13 |    +0.1% |  -12.647 |     -291.6 |     35 | zero
      560 |       6 |     535 |        6 |      0 |    13 |    +0.1% |  -12.607 |     -289.9 |     35 | zero
      570 |       7 |     543 |        6 |      0 |    14 |    +0.1% |  -12.585 |     -289.5 |     35 | zero
      580 |       7 |     552 |        6 |      0 |    15 |    +0.1% |  -12.554 |     -288.5 |     35 | zero
      590 |       7 |     561 |        7 |      0 |    15 |    +0.2% |  -12.510 |     -287.5 |     35 | zero
      600 |       7 |     570 |        8 |      0 |    15 |    +0.2% |  -12.491 |     -287.3 |     35 | zero
      610 |       7 |     579 |        9 |      0 |    15 |    +0.2% |  -12.480 |     -286.1 |     35 | zero
      620 |       7 |     589 |        9 |      0 |    15 |    +0.3% |  -12.452 |     -285.5 |     35 | zero
      630 |       7 |     599 |        9 |      0 |    15 |    +0.3% |  -12.423 |     -284.9 |     35 | zero
      640 |       7 |     605 |       12 |      0 |    17 |    +0.4% |  -12.357 |     -283.8 |     35 | zero
      650 |       7 |     614 |       13 |      0 |    17 |    +0.4% |  -12.361 |     -283.4 |     35 | zero
      660 |       7 |     622 |       13 |      0 |    19 |    +0.5% |  -12.304 |     -282.3 |     35 | zero
      670 |       8 |     631 |       13 |      0 |    19 |    +0.5% |  -12.251 |     -281.5 |     35 | zero
      680 |       8 |     641 |       13 |      0 |    19 |    +0.4% |  -12.212 |     -281.1 |     35 | zero
      690 |       8 |     651 |       13 |      0 |    19 |    +0.5% |  -12.187 |     -280.7 |     35 | zero
      700 |       8 |     661 |       13 |      0 |    19 |    +0.5% |  -12.166 |     -280.2 |     35 | zero
      710 |       8 |     671 |       13 |      0 |    19 |    +0.6% |  -12.136 |     -279.8 |     35 | zero
      720 |       8 |     681 |       13 |      0 |    19 |    +0.6% |  -12.111 |     -279.4 |     35 | zero
      730 |       8 |     689 |       14 |      0 |    20 |    +0.6% |  -12.089 |     -279.1 |     35 | zero
      740 |       8 |     699 |       14 |      0 |    20 |    +0.7% |  -12.060 |     -278.6 |     35 | zero
      750 |       8 |     709 |       14 |      0 |    20 |    +0.7% |  -12.063 |     -278.7 |     35 | zero
      760 |       8 |     718 |       15 |      0 |    20 |    +0.7% |  -12.013 |     -278.1 |     35 | zero
      770 |       8 |     727 |       17 |      0 |    20 |    +0.8% |  -11.993 |     -277.8 |     35 | zero
      780 |       8 |     736 |       18 |      0 |    20 |    +0.7% |  -11.965 |     -277.5 |     35 | zero
      790 |       8 |     745 |       18 |      0 |    21 |    +0.8% |  -11.951 |     -277.1 |     35 | zero
      800 |       9 |     754 |       18 |      0 |    21 |    +0.8% |  -11.890 |     -276.1 |     35 | zero
      810 |       9 |     762 |       19 |      0 |    22 |    +0.8% |  -11.820 |     -275.3 |     35 | zero
      820 |       9 |     772 |       19 |      0 |    22 |    +0.8% |  -11.794 |     -274.6 |     35 | zero
      830 |       9 |     780 |       20 |      0 |    23 |    +0.9% |  -11.740 |     -274.2 |     35 | zero
      840 |       9 |     788 |       21 |      0 |    24 |    +0.8% |  -11.748 |     -274.2 |     35 | zero
      850 |      10 |     797 |       21 |      0 |    24 |    +0.8% |  -11.675 |     -273.7 |     35 | zero
      860 |      10 |     807 |       21 |      0 |    24 |    +0.9% |  -11.636 |     -272.7 |     35 | zero
      870 |      10 |     817 |       21 |      0 |    24 |    +0.9% |  -11.609 |     -272.5 |     35 | zero
      880 |      10 |     826 |       21 |      0 |    25 |    +0.9% |  -11.577 |     -270.9 |     35 | zero
      890 |      10 |     836 |       21 |      0 |    25 |    +0.9% |  -11.553 |     -269.5 |     35 | zero
      900 |      10 |     845 |       22 |      0 |    25 |    +0.9% |  -11.514 |     -269.1 |     35 | zero
      910 |      10 |     854 |       22 |      0 |    26 |    +0.9% |  -11.473 |     -268.7 |     35 | zero
      920 |      10 |     864 |       22 |      0 |    26 |    +1.0% |  -11.418 |     -267.2 |     35 | zero
      930 |      10 |     872 |       22 |      0 |    28 |    +1.0% |  -11.382 |     -265.8 |     35 | zero
      940 |      10 |     880 |       24 |      0 |    28 |    +1.0% |  -11.347 |     -264.9 |     35 | zero
      950 |      10 |     887 |       26 |      0 |    30 |    +1.0% |  -11.279 |     -264.0 |     35 | zero
      960 |      10 |     893 |       28 |      0 |    32 |    +1.1% |  -11.151 |     -263.1 |     35 | zero
      970 |      10 |     901 |       30 |      0 |    32 |    +1.2% |  -11.048 |     -261.8 |     35 | zero
      980 |      10 |     905 |       33 |      0 |    35 |    +1.2% |  -11.002 |     -260.1 |     35 | zero
      990 |      10 |     914 |       33 |      0 |    36 |    +1.2% |  -10.982 |     -259.0 |     35 | zero
     1000 |      10 |     923 |       34 |      0 |    36 |    +1.3% |  -10.955 |     -257.9 |     35 | overflow
     1010 |      10 |     932 |       34 |      0 |    37 |    +1.3% |  -10.974 |     -255.2 |     35 | overflow
     1020 |      11 |     940 |       35 |      0 |    37 |    +1.3% |  -10.905 |     -254.6 |     35 | zero
     1030 |      11 |     949 |       36 |      0 |    37 |    +1.3% |  -10.891 |     -254.3 |     35 | zero
     1040 |      11 |     959 |       36 |      0 |    37 |    +1.3% |  -10.882 |     -254.2 |     35 | overflow
     1050 |      11 |     968 |       36 |      0 |    38 |    +1.3% |  -10.865 |     -253.5 |     35 | zero
     1060 |      11 |     977 |       36 |      0 |    39 |    +1.3% |  -10.882 |     -253.0 |     35 | zero
     1070 |      11 |     985 |       38 |      0 |    40 |    +1.3% |  -10.850 |     -252.3 |     35 | overflow
     1080 |      11 |     994 |       39 |      0 |    40 |    +1.4% |  -10.820 |     -252.0 |     35 | zero
     1090 |      11 |    1002 |       40 |      0 |    41 |    +1.4% |  -10.806 |     -251.9 |     35 | zero
     1100 |      11 |    1010 |       40 |      0 |    43 |    +1.5% |  -10.793 |     -251.6 |     35 | overflow
     1110 |      11 |    1017 |       43 |      0 |    44 |    +1.6% |  -10.784 |     -251.3 |     35 | overflow
     1120 |      11 |    1027 |       43 |      0 |    44 |    +1.6% |  -10.762 |     -250.7 |     35 | zero
     1130 |      11 |    1037 |       43 |      0 |    44 |    +1.6% |  -10.737 |     -250.3 |     35 | overflow
     1140 |      11 |    1045 |       43 |      0 |    46 |    +1.6% |  -10.721 |     -250.0 |     35 | zero
     1150 |      11 |    1054 |       44 |      0 |    46 |    +1.7% |  -10.702 |     -249.6 |     35 | overflow
     1160 |      12 |    1062 |       45 |      0 |    46 |    +1.7% |  -10.678 |     -248.5 |     35 | zero
     1170 |      12 |    1071 |       45 |      0 |    47 |    +1.8% |  -10.669 |     -248.1 |     35 | zero
     1180 |      12 |    1081 |       45 |      0 |    47 |    +1.8% |  -10.646 |     -247.9 |     35 | overflow
     1190 |      12 |    1089 |       46 |      0 |    48 |    +1.8% |  -10.635 |     -247.7 |     35 | overflow
     1200 |      12 |    1099 |       46 |      0 |    48 |    +1.8% |  -10.607 |     -246.6 |     35 | zero
     1210 |      12 |    1106 |       46 |      0 |    51 |    +1.9% |  -10.719 |     -246.7 |     35 | zero
     1220 |      12 |    1114 |       46 |      0 |    53 |    +1.9% |  -10.667 |     -246.0 |     35 | zero
     1230 |      12 |    1122 |       47 |      0 |    54 |    +1.9% |  -10.641 |     -245.5 |     35 | zero
     1240 |      12 |    1130 |       47 |      0 |    56 |    +2.0% |  -10.635 |     -245.2 |     35 | zero
     1250 |      12 |    1137 |       48 |      0 |    58 |    +2.0% |  -10.628 |     -245.2 |     35 | zero
     1257 |      12 |    1106 |       46 |      0 |    48 |    +1.9% |  -10.591 |     -246.4 |     35 | zero
     1260 |      12 |    1107 |       47 |      0 |    48 |    +1.9% |  -10.591 |     -246.2 |     35 | zero
     1270 |      12 |    1115 |       48 |      0 |    49 |    +2.0% |  -10.570 |     -245.9 |     35 | zero
     1280 |      12 |    1125 |       48 |      0 |    49 |    +1.9% |  -10.549 |     -245.6 |     35 | zero
     1290 |      12 |    1134 |       49 |      0 |    49 |    +2.0% |  -10.554 |     -245.7 |     35 | zero
     1300 |      12 |    1143 |       50 |      0 |    49 |    +2.0% |  -10.535 |     -245.3 |     35 | zero
     1310 |      12 |    1150 |       51 |      0 |    51 |    +2.0% |  -10.535 |     -245.3 |     35 | zero
     1320 |      12 |    1159 |       52 |      0 |    51 |    +2.1% |  -10.535 |     -245.1 |     35 | zero
     1330 |      12 |    1167 |       54 |      0 |    51 |    +2.2% |  -10.535 |     -245.0 |     35 | zero
     1340 |      12 |    1176 |       55 |      0 |    51 |    +2.3% |  -10.510 |     -244.6 |     35 | zero
     1350 |      12 |    1185 |       56 |      0 |    51 |    +2.3% |  -10.510 |     -244.5 |     35 | zero
     1360 |      12 |    1194 |       60 |      0 |    51 |    +2.4% |  -10.510 |     -244.4 |     35 | zero
     1370 |      12 |    1204 |       60 |      0 |    51 |    +2.5% |  -10.528 |     -244.6 |     35 | zero
     1380 |      12 |    1213 |       61 |      0 |    51 |    +2.6% |  -10.495 |     -243.9 |     35 | zero
     1390 |      12 |    1223 |       61 |      0 |    51 |    +2.5% |  -10.495 |     -243.1 |     35 | zero
     1400 |      13 |    1229 |       63 |      0 |    52 |    +2.5% |  -10.489 |     -242.9 |     35 | zero
     1410 |      13 |    1237 |       64 |      0 |    53 |    +2.6% |  -10.481 |     -242.7 |     35 | zero
     1420 |      13 |    1246 |       65 |      0 |    53 |    +2.7% |  -10.465 |     -242.3 |     35 | zero
     1430 |      13 |    1253 |       65 |      0 |    56 |    +2.7% |  -10.465 |     -242.2 |     35 | zero
     1440 |      13 |    1261 |       65 |      0 |    58 |    +2.7% |  -10.431 |     -241.6 |     35 | zero
     1450 |      13 |    1271 |       65 |      0 |    58 |    +2.7% |  -10.431 |     -241.4 |     35 | zero
     1460 |      15 |    1278 |       66 |      0 |    58 |    +2.6% |  -10.363 |     -240.2 |     35 | zero
     1470 |      15 |    1286 |       70 |      0 |    58 |    +2.7% |  -10.358 |     -239.9 |     35 | zero
     1480 |      15 |    1295 |       71 |      0 |    58 |    +2.8% |  -10.358 |     -239.6 |     35 | zero
     1490 |      15 |    1302 |       76 |      0 |    58 |    +2.9% |  -10.323 |     -239.2 |     35 | zero
     1500 |      15 |    1310 |       77 |      0 |    59 |    +2.9% |  -10.350 |     -239.8 |     35 | zero
     1510 |      15 |    1318 |       77 |      0 |    61 |    +2.9% |  -10.323 |     -238.7 |     35 | zero
